record_id,sentiment,predicted_sentiment,sarcasm,dialect,processed_token_count
00078218ab13eca6,NEU,NEG,False,msa,19
000edd149c4e45de,POS,NEG,False,msa,18
00bc9697667d6905,NEG,NEU,False,msa,12
011f10f269506fbd,NEU,NEG,False,msa,9
012761fa65c65c7b,POS,NEU,False,msa,11
013b1fd178721664,POS,NEG,False,egypt,3
01515d90eeccbca9,NEU,POS,False,msa,23
015f625de3770164,POS,NEU,False,egypt,8
016e964eb62bad41,NEU,NEG,False,msa,17
01a7d3db8a717398,POS,NEG,False,msa,15
0226d2aca54365b5,POS,NEG,False,egypt,13
02c9451adf158bbe,NEG,NEU,True,egypt,4
02f060bef2e64f92,NEG,NEU,False,msa,17
030d9eca036ccf7d,NEG,NEU,True,msa,7
03372429594cc7d4,NEG,NEU,False,levant,15
03c34fed527043a1,NEU,NEG,False,msa,6
03e98ee9b779d2aa,NEG,POS,False,msa,15
04dafbc1f1553398,POS,NEG,False,msa,17
04f90c69772b0976,NEG,NEU,False,egypt,20
0537e608a9a6e64f,NEU,NEG,False,egypt,20
05ba98d0cb946c3c,NEU,NEG,False,gulf,19
05fd196fbabad73f,NEU,NEG,True,egypt,10
0667a097ffc02f68,NEU,NEG,False,msa,3
067cfcb93b0c2e95,NEU,NEG,False,msa,6
06bd9362eb63904e,NEG,NEU,False,egypt,9
